"charity","date","ce"
"Deworm the World",2017-05-20,10.23530512
"SCI Foundation",2017-05-20,8.060706877
"Sightsavers",2017-05-20,5.014734558
"AMF",2017-05-20,2.871210467
"Malaria Consortium",2017-05-20,3.313704375
"Deworm the World",2017-08-16,8.917556455
"SCI Foundation",2017-08-16,6.601674676
"Sightsavers",2017-08-16,4.321212055
"AMF",2017-08-16,3.819682284
"Malaria Consortium",2017-08-16,3.279380084
"Deworm the World",2017-11-27,12.42121753
"SCI Foundation",2017-11-27,9.794561221
"Sightsavers",2017-11-27,4.80490256
"AMF",2017-11-27,6.017644748
"Malaria Consortium",2017-11-27,6.594596353
"Helen Keller International",2017-11-27,8.876263795
"END Fund",2017-11-27,4.235901015
"Deworm the World",2018-11-27,18.33249367
"SCI Foundation",2018-11-27,9.373362239
"Sightsavers",2018-11-27,9.751494736
"AMF",2018-11-27,5.927970856
"Malaria Consortium",2018-11-27,9.327003134
"Helen Keller International",2018-11-27,6.128789767
"END Fund",2018-11-27,5.480052002
"AMF",2019-11-25,17.20326647
"Deworm the World",2019-11-25,60.55766073
"END Fund",2019-11-25,5.166916505
"SCI Foundation",2019-11-25,10.05226068
"Sightsavers",2019-11-25,9.687831433
"Malaria Consortium",2019-11-25,15.76292479
"Helen Keller International",2019-11-25,12.62235239
"AMF",2020-09-11,15.43791559
"Deworm the World",2020-09-11,16.22237666
"END Fund",2020-09-11,10.48781369
"SCI Foundation",2020-09-11,9.88627329
"Sightsavers",2020-09-11,14.94776045
"Malaria Consortium",2020-09-11,14.11631
"Helen Keller International",2020-09-11,21.4227532
"AMF",2020-11-19,15.43791559
"Deworm the World",2020-11-19,16.22237666
"END Fund",2020-11-19,10.48781369
"SCI Foundation",2020-11-19,9.88627329
"Sightsavers",2020-11-19,14.94776045
"Malaria Consortium",2020-11-19,14.11631
"Helen Keller International",2020-11-19,21.4227532
"SCI Foundation",2021-05-05,9.886273
"New Incentives",2021-05-05,10.8436357
"AMF",2021-05-05,10.25222632
"Deworm the World",2021-05-05,16.07798651665
"END Fund",2021-05-05,10.487813563231
"Helen Keller International",2021-05-05,24.7916173511909
"Malaria Consortium",2021-05-05,9.25412379415549
"Sightsavers",2021-05-05,14.9477312539243
"SCI Foundation",2021-07-06,9.886273
"New Incentives",2021-07-06,10.8436357
"AMF",2021-07-06,12.71815539
"Deworm the World",2021-07-06,16.07798651665
"END Fund",2021-07-06,10.487813563231
"Helen Keller International",2021-07-06,23.0670580813789
"Malaria Consortium",2021-07-06,7.60600894860745
"Sightsavers",2021-07-06,14.9477312539243
"SCI Foundation",2021-09-28,9.886273
"New Incentives",2021-09-28,9.358397208
"AMF",2021-09-28,14.1066234696
"Deworm the World",2021-09-28,16.07798651665
"END Fund",2021-09-28,10.487813563231
"Helen Keller International",2021-09-28,23.0670580813789
"Malaria Consortium",2021-09-28,10.1197188205
"Sightsavers",2021-09-28,14.9477312539243
"SCI Foundation",2022-03-29,13.432199
"New Incentives",2022-03-29,14.22609744
"AMF",2022-03-29,11.7177610995714
"Deworm the World",2022-03-29,18.380516841531
"END Fund",2022-03-29,11.61071724051
"Helen Keller International",2022-03-29,23.7957052869488
"Malaria Consortium",2022-03-29,11.1807735651667
"Sightsavers",2022-03-29,16.5804203748584
"SCI Foundation",2022-08-04,13.477696
"New Incentives",2022-08-04,13.64663252
"AMF",2022-08-04,11.067239107466
"Deworm the World",2022-08-04,15.9714412087409
"END Fund",2022-08-04,11.8953714
"Helen Keller International",2022-08-04,12.5357977735081
"Malaria Consortium",2022-08-04,9.24298598780836
"Sightsavers",2022-08-04,25.043085399476
